Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr
12,12,2020-03-15,0,0,0,Alabama,AL
1,1,2020-03-15,0,0,0,Alaska,AK
12,13,2020-03-15,0,0,1,Arizona,AZ
16,16,2020-03-15,0,0,0,Arkansas,AR
414,426,2020-03-15,6,0.0141,6,California,CA
130,131,2020-03-15,1,0.0076,0,Colorado,CO
24,24,2020-03-15,0,0,0,Connecticut,CT
7,7,2020-03-15,0,0,0,Delaware,DE
111,115,2020-03-15,4,0.0348,0,Florida,FL
98,99,2020-03-15,1,0.0101,0,Georgia,GA
6,6,2020-03-15,0,0,0,Hawaii,HI
5,5,2020-03-15,0,0,0,Idaho,ID
91,93,2020-03-15,0,0,2,Illinois,IL
20,20,2020-03-15,0,0,0,Indiana,IN
18,18,2020-03-15,0,0,0,Iowa,IA
7,8,2020-03-15,1,0.125,0,Kansas,KS
20,20,2020-03-15,0,0,0,Kentucky,KY
89,91,2020-03-15,2,0.022,0,Louisiana,LA
12,12,2020-03-15,0,0,0,Maine,ME
32,32,2020-03-15,0,0,0,Maryland,MD
163,164,2020-03-15,0,0,1,Massachusetts,MA
33,33,2020-03-15,0,0,0,Michigan,MI
35,35,2020-03-15,0,0,0,Minnesota,MN
10,10,2020-03-15,0,0,0,Mississippi,MS
5,5,2020-03-15,0,0,0,Missouri,MO
7,7,2020-03-15,0,0,0,Montana,MT
17,17,2020-03-15,0,0,0,Nebraska,NE
24,24,2020-03-15,0,0,0,Nevada,NV
13,13,2020-03-15,0,0,0,New Hampshire,NH
96,98,2020-03-15,2,0.0204,0,New Jersey,NJ
13,13,2020-03-15,0,0,0,New Mexico,NM
729,732,2020-03-15,3,0.0041,0,New York,NY
33,33,2020-03-15,0,0,0,North Carolina,NC
1,1,2020-03-15,0,0,0,North Dakota,ND
37,37,2020-03-15,0,0,0,Ohio,OH
7,7,2020-03-15,0,0,0,Oklahoma,OK
35,36,2020-03-15,1,0.0278,0,Oregon,OR
66,66,2020-03-15,0,0,0,Pennsylvania,PA
20,20,2020-03-15,0,0,0,Rhode Island,RI
28,28,2020-03-15,0,0,0,South Carolina,SC
8,9,2020-03-15,1,0.1111,0,South Dakota,SD
39,39,2020-03-15,0,0,0,Tennessee,TN
72,72,2020-03-15,0,0,0,Texas,TX
28,28,2020-03-15,0,0,0,Utah,UT
8,8,2020-03-15,0,0,0,Vermont,VT
44,45,2020-03-15,1,0.0222,0,Virginia,VA
602,643,2020-03-15,40,0.0622,1,Washington,WA
0,0,2020-03-15,0,0,0,West Virginia,WV
31,32,2020-03-15,0,0,1,Wisconsin,WI
3,3,2020-03-15,0,0,0,Wyoming,WY
1033,1060,2020-04-01,27,0.0255,0,Alabama,AL
129,132,2020-04-01,3,0.0227,0,Alaska,AK
1501,1530,2020-04-01,29,0.019,0,Arizona,AZ
574,584,2020-04-01,10,0.0171,0,Arkansas,AR
9200,9399,2020-04-01,199,0.0212,0,California,CA
2913,2982,2020-04-01,69,0.0231,0,Colorado,CO
3472,3557,2020-04-01,85,0.0239,0,Connecticut,CT
357,368,2020-04-01,11,0.0299,0,Delaware,DE
6869,6956,2020-04-01,87,0.0125,0,Florida,FL
4499,4638,2020-04-01,139,0.03,0,Georgia,GA
223,224,2020-04-01,1,0.0045,0,Hawaii,HI
557,566,2020-04-01,9,0.0159,0,Idaho,ID
6839,6980,2020-04-01,141,0.0202,0,Illinois,IL
2499,2564,2020-04-01,65,0.0254,0,Indiana,IN
538,547,2020-04-01,9,0.0165,0,Iowa,IA
475,485,2020-04-01,10,0.0206,0,Kansas,KS
614,632,2020-04-01,18,0.0285,0,Kentucky,KY
6151,6424,2020-04-01,273,0.0425,0,Louisiana,LA
298,303,2020-04-01,5,0.0165,0,Maine,ME
1955,1986,2020-04-01,31,0.0156,0,Maryland,MD
7616,7738,2020-04-01,122,0.0158,0,Massachusetts,MA
8980,9315,2020-04-01,335,0.036,0,Michigan,MI
672,689,2020-04-01,17,0.0247,0,Minnesota,MN
1051,1073,2020-04-01,22,0.0205,0,Mississippi,MS
1595,1613,2020-04-01,18,0.0112,0,Missouri,MO
202,208,2020-04-01,6,0.0288,0,Montana,MT
206,210,2020-04-01,4,0.019,0,Nebraska,NE
1248,1279,2020-04-01,31,0.0242,0,Nevada,NV
364,367,2020-04-01,3,0.0082,0,New Hampshire,NH
21900,22255,2020-04-01,355,0.016,0,New Jersey,NJ
335,340,2020-04-01,5,0.0147,0,New Mexico,NM
82007,83948,2020-04-01,1941,0.0231,0,New York,NY
1661,1675,2020-04-01,14,0.0084,0,North Carolina,NC
139,142,2020-04-01,3,0.0211,0,North Dakota,ND
2482,2547,2020-04-01,65,0.0255,0,Ohio,OH
691,721,2020-04-01,30,0.0416,0,Oklahoma,OK
717,736,2020-04-01,19,0.0258,0,Oregon,OR
5935,6009,2020-04-01,74,0.0123,0,Pennsylvania,PA
556,566,2020-04-01,10,0.0177,0,Rhode Island,RI
1267,1293,2020-04-01,26,0.0201,0,South Carolina,SC
127,129,2020-04-01,2,0.0155,0,South Dakota,SD
2909,2933,2020-04-01,24,0.0082,0,Tennessee,TN
4289,4355,2020-04-01,66,0.0152,0,Texas,TX
883,888,2020-04-01,5,0.0056,0,Utah,UT
305,321,2020-04-01,16,0.0498,0,Vermont,VT
1449,1483,2020-04-01,34,0.0229,0,Virginia,VA
5374,5608,2020-04-01,234,0.0417,0,Washington,WA
190,191,2020-04-01,1,0.0052,0,West Virginia,WV
1529,1556,2020-04-01,27,0.0174,0,Wisconsin,WI
130,130,2020-04-01,0,0,0,Wyoming,WY
3957,4075,2020-04-15,118,0.029,0,Alabama,AL
284,293,2020-04-15,9,0.0307,0,Alaska,AK
3822,3964,2020-04-15,142,0.0358,0,Arizona,AZ
1536,1569,2020-04-15,33,0.021,0,Arkansas,AR
25826,26686,2020-04-15,860,0.0322,0,California,CA
7628,7956,2020-04-15,328,0.0412,0,Colorado,CO
13887,14755,2020-04-15,868,0.0588,0,Connecticut,CT
1968,2014,2020-04-15,46,0.0228,0,Delaware,DE
21915,22511,2020-04-15,596,0.0265,0,Florida,FL
14435,14987,2020-04-15,552,0.0368,0,Georgia,GA
515,524,2020-04-15,9,0.0172,0,Hawaii,HI
1434,1473,2020-04-15,39,0.0265,0,Idaho,ID
23644,24593,2020-04-15,949,0.0386,0,Illinois,IL
8524,8960,2020-04-15,436,0.0487,0,Indiana,IN
1942,1995,2020-04-15,53,0.0266,0,Iowa,IA
1433,1504,2020-04-15,71,0.0472,0,Kansas,KS
2095,2210,2020-04-15,115,0.052,0,Kentucky,KY
20848,21951,2020-04-15,1103,0.0502,0,Louisiana,LA
746,770,2020-04-15,24,0.0312,0,Maine,ME
9721,10032,2020-04-15,311,0.031,0,Maryland,MD
28810,29918,2020-04-15,1108,0.037,0,Massachusetts,MA
26138,28059,2020-04-15,1921,0.0685,0,Michigan,MI
1722,1809,2020-04-15,87,0.0481,0,Minnesota,MN
3238,3360,2020-04-15,122,0.0363,0,Mississippi,MS
4638,4791,2020-04-15,153,0.0319,0,Missouri,MO
397,404,2020-04-15,7,0.0173,0,Montana,MT
881,901,2020-04-15,20,0.0222,0,Nebraska,NE
3080,3211,2020-04-15,131,0.0408,0,Nevada,NV
1107,1139,2020-04-15,32,0.0281,0,New Hampshire,NH
67874,71030,2020-04-15,3156,0.0444,0,New Jersey,NJ
1448,1484,2020-04-15,36,0.0243,0,New Mexico,NM
202837,214454,2020-04-15,11617,0.0542,0,New York,NY
5210,5340,2020-04-15,130,0.0243,0,North Carolina,NC
356,365,2020-04-15,9,0.0247,0,North Dakota,ND
7432,7794,2020-04-15,362,0.0464,0,Ohio,OH
2140,2263,2020-04-15,123,0.0544,0,Oklahoma,OK
1605,1663,2020-04-15,58,0.0349,0,Oregon,OR
25974,26753,2020-04-15,779,0.0291,0,Pennsylvania,PA
3171,3251,2020-04-15,80,0.0246,0,Rhode Island,RI
3550,3656,2020-04-15,106,0.029,0,South Carolina,SC
1162,1168,2020-04-15,6,0.0051,0,South Dakota,SD
5703,5827,2020-04-15,124,0.0213,0,Tennessee,TN
15532,15907,2020-04-15,375,0.0236,0,Texas,TX
2528,2548,2020-04-15,20,0.0078,0,Utah,UT
730,759,2020-04-15,29,0.0382,0,Vermont,VT
6305,6500,2020-04-15,195,0.03,0,Virginia,VA
10390,10942,2020-04-15,552,0.0504,0,Washington,WA
692,702,2020-04-15,10,0.0142,0,West Virginia,WV
3538,3721,2020-04-15,183,0.0492,0,Wisconsin,WI
286,287,2020-04-15,1,0.0035,0,Wyoming,WY
7005,7294,2020-05-01,289,0.0396,0,Alabama,AL
355,364,2020-05-01,9,0.0247,0,Alaska,AK
7639,7969,2020-05-01,330,0.0414,0,Arizona,AZ
3273,3337,2020-05-01,64,0.0192,0,Arkansas,AR
49900,52026,2020-05-01,2126,0.0409,0,California,CA
14972,15793,2020-05-01,821,0.052,0,Colorado,CO
26425,28764,2020-05-01,2339,0.0813,0,Connecticut,CT
4759,4918,2020-05-01,159,0.0323,0,Delaware,DE
33414,34728,2020-05-01,1314,0.0378,0,Florida,FL
26320,27489,2020-05-01,1169,0.0425,0,Georgia,GA
603,619,2020-05-01,16,0.0258,0,Hawaii,HI
1952,2015,2020-05-01,63,0.0313,0,Idaho,ID
53598,56055,2020-05-01,2457,0.0438,0,Illinois,IL
17455,18630,2020-05-01,1175,0.0631,0,Indiana,IN
7714,7884,2020-05-01,170,0.0216,0,Iowa,IA
4494,4634,2020-05-01,140,0.0302,0,Kansas,KS
4636,4882,2020-05-01,246,0.0504,0,Kentucky,KY
26741,28711,2020-05-01,1970,0.0686,0,Louisiana,LA
1068,1123,2020-05-01,55,0.049,0,Maine,ME
22392,23472,2020-05-01,1080,0.046,0,Maryland,MD
60595,64311,2020-05-01,3716,0.0578,0,Massachusetts,MA
38490,42356,2020-05-01,3866,0.0913,0,Michigan,MI
5360,5730,2020-05-01,370,0.0646,0,Minnesota,MN
6931,7212,2020-05-01,281,0.039,0,Mississippi,MS
7707,8067,2020-05-01,360,0.0446,0,Missouri,MO
437,453,2020-05-01,16,0.0353,0,Montana,MT
4935,5008,2020-05-01,73,0.0146,0,Nebraska,NE
5002,5248,2020-05-01,246,0.0469,0,Nevada,NV
2229,2310,2020-05-01,81,0.0351,0,New Hampshire,NH
113652,121190,2020-05-01,7538,0.0622,0,New Jersey,NJ
3382,3513,2020-05-01,131,0.0373,0,New Mexico,NM
284275,308314,2020-05-01,24039,0.078,0,New York,NY
10651,11070,2020-05-01,419,0.0379,0,North Carolina,NC
1084,1107,2020-05-01,23,0.0208,0,North Dakota,ND
17740,18743,2020-05-01,1003,0.0535,0,Ohio,OH
3518,3748,2020-05-01,230,0.0614,0,Oklahoma,OK
2475,2579,2020-05-01,104,0.0403,0,Oregon,OR
46944,49579,2020-05-01,2635,0.0531,0,Pennsylvania,PA
8683,8962,2020-05-01,279,0.0311,0,Rhode Island,RI
6002,6258,2020-05-01,256,0.0409,0,South Carolina,SC
2504,2525,2020-05-01,21,0.0083,0,South Dakota,SD
11687,11891,2020-05-01,204,0.0172,0,Tennessee,TN
28852,29692,2020-05-01,840,0.0283,0,Texas,TX
4782,4828,2020-05-01,46,0.0095,0,Utah,UT
829,879,2020-05-01,50,0.0569,0,Vermont,VT
16321,16902,2020-05-01,581,0.0344,0,Virginia,VA
13813,14637,2020-05-01,824,0.0563,0,Washington,WA
1106,1152,2020-05-01,46,0.0399,0,West Virginia,WV
6987,7314,2020-05-01,327,0.0447,0,Wisconsin,WI
559,566,2020-05-01,7,0.0124,0,Wyoming,WY
10890,11373,2020-05-15,483,0.0425,0,Alabama,AL
378,388,2020-05-15,10,0.0258,0,Alaska,AK
12518,13169,2020-05-15,651,0.0494,0,Arizona,AZ
4365,4463,2020-05-15,98,0.022,0,Arkansas,AR
73557,76693,2020-05-15,3136,0.0409,0,California,CA
20082,21232,2020-05-15,1150,0.0542,0,Colorado,CO
32800,36085,2020-05-15,3285,0.091,0,Connecticut,CT
7102,7373,2020-05-15,271,0.0368,0,Delaware,DE
42221,44138,2020-05-15,1917,0.0434,0,Florida,FL
35184,36772,2020-05-15,1588,0.0432,0,Georgia,GA
621,638,2020-05-15,17,0.0266,0,Hawaii,HI
2279,2351,2020-05-15,72,0.0306,0,Idaho,ID
86310,90369,2020-05-15,4059,0.0449,0,Illinois,IL
24965,26656,2020-05-15,1691,0.0634,0,Indiana,IN
13713,14049,2020-05-15,336,0.0239,0,Iowa,IA
7693,7886,2020-05-15,193,0.0245,0,Kansas,KS
7112,7444,2020-05-15,332,0.0446,0,Kentucky,KY
31389,33837,2020-05-15,2448,0.0723,0,Louisiana,LA
1534,1603,2020-05-15,69,0.043,0,Maine,ME
35075,36986,2020-05-15,1911,0.0517,0,Maryland,MD
77829,83421,2020-05-15,5592,0.067,0,Massachusetts,MA
45254,50079,2020-05-15,4825,0.0963,0,Michigan,MI
13548,14240,2020-05-15,692,0.0486,0,Minnesota,MN
10308,10801,2020-05-15,493,0.0456,0,Mississippi,MS
10185,10766,2020-05-15,581,0.054,0,Missouri,MO
450,466,2020-05-15,16,0.0343,0,Montana,MT
9497,9610,2020-05-15,113,0.0118,0,Nebraska,NE
6390,6733,2020-05-15,343,0.0509,0,Nevada,NV
3302,3453,2020-05-15,151,0.0437,0,New Hampshire,NH
133836,143984,2020-05-15,10148,0.0705,0,New Jersey,NJ
5409,5662,2020-05-15,253,0.0447,0,New Mexico,NM
317935,345813,2020-05-15,27878,0.0806,0,New York,NY
16827,17494,2020-05-15,667,0.0381,0,North Carolina,NC
1719,1761,2020-05-15,42,0.0239,0,North Dakota,ND
25373,26954,2020-05-15,1581,0.0587,0,Ohio,OH
4802,5087,2020-05-15,285,0.056,0,Oklahoma,OK
3404,3541,2020-05-15,137,0.0387,0,Oregon,OR
59714,64136,2020-05-15,4422,0.0689,0,Pennsylvania,PA
11740,12219,2020-05-15,479,0.0392,0,Rhode Island,RI
8027,8407,2020-05-15,380,0.0452,0,South Carolina,SC
3843,3887,2020-05-15,44,0.0113,0,South Dakota,SD
16670,16960,2020-05-15,290,0.0171,0,Tennessee,TN
44441,45721,2020-05-15,1280,0.028,0,Texas,TX
6836,6913,2020-05-15,77,0.0111,0,Utah,UT
880,933,2020-05-15,53,0.0568,0,Vermont,VT
27694,28672,2020-05-15,978,0.0341,0,Virginia,VA
16960,17951,2020-05-15,991,0.0552,0,Washington,WA
1383,1447,2020-05-15,64,0.0442,0,West Virginia,WV
11240,11685,2020-05-15,445,0.0381,0,Wisconsin,WI
709,716,2020-05-15,7,0.0098,0,Wyoming,WY
17984,18630,2020-06-01,646,0.0347,0,Alabama,AL
456,466,2020-06-01,10,0.0215,0,Alaska,AK
19211,20129,2020-06-01,918,0.0456,0,Arizona,AZ
7310,7443,2020-06-01,133,0.0179,0,Arkansas,AR
110516,114733,2020-06-01,4217,0.0368,0,California,CA
25105,26563,2020-06-01,1458,0.0549,0,Colorado,CO
38770,42740,2020-06-01,3970,0.0929,0,Connecticut,CT
9237,9605,2020-06-01,368,0.0383,0,Delaware,DE
54370,56830,2020-06-01,2460,0.0433,0,Florida,FL
45808,47902,2020-06-01,2094,0.0437,0,Georgia,GA
635,652,2020-06-01,17,0.0261,0,Hawaii,HI
2757,2839,2020-06-01,82,0.0289,0,Idaho,ID
115822,121234,2020-06-01,5412,0.0446,0,Illinois,IL
32687,34830,2020-06-01,2143,0.0615,0,Indiana,IN
19144,19699,2020-06-01,555,0.0282,0,Iowa,IA
9703,9920,2020-06-01,217,0.0219,0,Kansas,KS
9607,10046,2020-06-01,439,0.0437,0,Kentucky,KY
37540,40341,2020-06-01,2801,0.0694,0,Louisiana,LA
2260,2349,2020-06-01,89,0.0379,0,Maine,ME
50775,53327,2020-06-01,2552,0.0479,0,Maryland,MD
93770,100805,2020-06-01,7035,0.0698,0,Massachusetts,MA
52016,57532,2020-06-01,5516,0.0959,0,Michigan,MI
24148,25208,2020-06-01,1060,0.0421,0,Minnesota,MN
15013,15752,2020-06-01,739,0.0469,0,Mississippi,MS
12948,13724,2020-06-01,776,0.0565,0,Missouri,MO
502,519,2020-06-01,17,0.0328,0,Montana,MT
14175,14345,2020-06-01,170,0.0119,0,Nebraska,NE
8285,8702,2020-06-01,417,0.0479,0,Nevada,NV
4440,4685,2020-06-01,245,0.0523,0,New Hampshire,NH
149195,160918,2020-06-01,11723,0.0729,0,New Jersey,NJ
7438,7800,2020-06-01,362,0.0464,0,New Mexico,NM
341794,371711,2020-06-01,29917,0.0805,0,New York,NY
28644,29592,2020-06-01,948,0.032,0,North Carolina,NC
2564,2625,2020-06-01,61,0.0232,0,North Dakota,ND
33777,35984,2020-06-01,2207,0.0613,0,Ohio,OH
6563,6913,2020-06-01,350,0.0506,0,Oklahoma,OK
4148,4302,2020-06-01,154,0.0358,0,Oregon,OR
71079,76646,2020-06-01,5567,0.0726,0,Pennsylvania,PA
14271,14991,2020-06-01,720,0.048,0,Rhode Island,RI
11648,12148,2020-06-01,500,0.0412,0,South Carolina,SC
4972,5034,2020-06-01,62,0.0123,0,South Dakota,SD
22202,22566,2020-06-01,364,0.0161,0,Tennessee,TN
63910,65593,2020-06-01,1683,0.0257,0,Texas,TX
9886,9999,2020-06-01,113,0.0113,0,Utah,UT
928,983,2020-06-01,55,0.056,0,Vermont,VT
44006,45398,2020-06-01,1392,0.0307,0,Virginia,VA
20854,21977,2020-06-01,1123,0.0511,0,Washington,WA
1952,2028,2020-06-01,76,0.0375,0,West Virginia,WV
17948,18543,2020-06-01,595,0.0321,0,Wisconsin,WI
893,910,2020-06-01,17,0.0187,0,Wyoming,WY
25498,26272,2020-06-15,774,0.0295,0,Alabama,AL
651,663,2020-06-15,12,0.0181,0,Alaska,AK
35641,36844,2020-06-15,1203,0.0327,0,Arizona,AZ
12735,12917,2020-06-15,182,0.0141,0,Arkansas,AR
150612,155726,2020-06-15,5114,0.0328,0,California,CA
27679,29284,2020-06-15,1605,0.0548,0,Colorado,CO
41031,45235,2020-06-15,4204,0.0929,0,Connecticut,CT
9917,10340,2020-06-15,423,0.0409,0,Delaware,DE
74388,77326,2020-06-15,2938,0.038,0,Florida,FL
55920,58414,2020-06-15,2494,0.0427,0,Georgia,GA
719,736,2020-06-15,17,0.0231,0,Hawaii,HI
3312,3399,2020-06-15,87,0.0256,0,Idaho,ID
126690,133016,2020-06-15,6326,0.0476,0,Illinois,IL
37997,40430,2020-06-15,2433,0.0602,0,Indiana,IN
23424,24082,2020-06-15,658,0.0273,0,Iowa,IA
11073,11319,2020-06-15,246,0.0217,0,Kansas,KS
12142,12647,2020-06-15,505,0.0399,0,Kentucky,KY
44154,47172,2020-06-15,3018,0.064,0,Louisiana,LA
2709,2810,2020-06-15,101,0.0359,0,Maine,ME
59085,62032,2020-06-15,2947,0.0475,0,Maryland,MD
98043,105690,2020-06-15,7647,0.0724,0,Massachusetts,MA
60067,66085,2020-06-15,6018,0.0911,0,Michigan,MI
29358,30693,2020-06-15,1335,0.0435,0,Minnesota,MN
18904,19799,2020-06-15,895,0.0452,0,Mississippi,MS
15724,16611,2020-06-15,887,0.0534,0,Missouri,MO
590,609,2020-06-15,19,0.0312,0,Montana,MT
16631,16851,2020-06-15,220,0.0131,0,Nebraska,NE
10850,11315,2020-06-15,465,0.0411,0,Nevada,NV
5025,5345,2020-06-15,320,0.0599,0,New Hampshire,NH
154395,167103,2020-06-15,12708,0.076,0,New Jersey,NJ
9405,9845,2020-06-15,440,0.0447,0,New Mexico,NM
353088,383944,2020-06-15,30856,0.0804,0,New York,NY
43974,45114,2020-06-15,1140,0.0253,0,North Carolina,NC
3027,3101,2020-06-15,74,0.0239,0,North Dakota,ND
39001,41576,2020-06-15,2575,0.0619,0,Ohio,OH
8058,8417,2020-06-15,359,0.0427,0,Oklahoma,OK
5640,5820,2020-06-15,180,0.0309,0,Oregon,OR
77346,83589,2020-06-15,6243,0.0747,0,Pennsylvania,PA
15242,16093,2020-06-15,851,0.0529,0,Rhode Island,RI
18776,19378,2020-06-15,602,0.0311,0,South Carolina,SC
5853,5928,2020-06-15,75,0.0127,0,South Dakota,SD
30522,31004,2020-06-15,482,0.0155,0,Tennessee,TN
88210,90211,2020-06-15,2001,0.0222,0,Texas,TX
14465,14608,2020-06-15,143,0.0098,0,Utah,UT
1073,1128,2020-06-15,55,0.0488,0,Vermont,VT
53334,54886,2020-06-15,1552,0.0283,0,Virginia,VA
24938,26158,2020-06-15,1220,0.0466,0,Washington,WA
2234,2322,2020-06-15,88,0.0379,0,West Virginia,WV
22238,22932,2020-06-15,694,0.0303,0,Wisconsin,WI
1061,1079,2020-06-15,18,0.0167,0,Wyoming,WY
37990,38962,2020-07-01,972,0.0249,0,Alabama,AL
961,975,2020-07-01,14,0.0144,0,Alaska,AK
82380,84105,2020-07-01,1725,0.0205,0,Arizona,AZ
20920,21197,2020-07-01,277,0.0131,0,Arkansas,AR
232512,238681,2020-07-01,6169,0.0258,0,California,CA
31315,33012,2020-07-01,1697,0.0514,0,Colorado,CO
42248,46572,2020-07-01,4324,0.0928,0,Connecticut,CT
11001,11510,2020-07-01,509,0.0442,0,Delaware,DE
155447,158997,2020-07-01,3550,0.0223,0,Florida,FL
81415,84242,2020-07-01,2827,0.0336,0,Georgia,GA
908,926,2020-07-01,18,0.0194,0,Hawaii,HI
6278,6370,2020-07-01,92,0.0144,0,Idaho,ID
137062,144013,2020-07-01,6951,0.0483,0,Illinois,IL
43302,45952,2020-07-01,2650,0.0577,0,Indiana,IN
28797,29514,2020-07-01,717,0.0243,0,Iowa,IA
14553,14830,2020-07-01,277,0.0187,0,Kansas,KS
15270,15842,2020-07-01,572,0.0361,0,Kentucky,KY
56940,60178,2020-07-01,3238,0.0538,0,Louisiana,LA
3189,3294,2020-07-01,105,0.0319,0,Maine,ME
64713,67918,2020-07-01,3205,0.0472,0,Maryland,MD
100829,108882,2020-07-01,8053,0.074,0,Massachusetts,MA
64891,71089,2020-07-01,6198,0.0872,0,Michigan,MI
35234,36716,2020-07-01,1482,0.0404,0,Minnesota,MN
26818,27900,2020-07-01,1082,0.0388,0,Mississippi,MS
20017,21035,2020-07-01,1018,0.0484,0,Missouri,MO
994,1016,2020-07-01,22,0.0217,0,Montana,MT
19034,19310,2020-07-01,276,0.0143,0,Nebraska,NE
18590,19101,2020-07-01,511,0.0268,0,Nevada,NV
5429,5802,2020-07-01,373,0.0643,0,New Hampshire,NH
156850,171928,2020-07-01,15078,0.0877,0,New Jersey,NJ
11776,12276,2020-07-01,500,0.0407,0,New Mexico,NM
362036,394079,2020-07-01,32043,0.0813,0,New York,NY
65353,66751,2020-07-01,1398,0.0209,0,North Carolina,NC
3535,3615,2020-07-01,80,0.0221,0,North Dakota,ND
49989,52865,2020-07-01,2876,0.0544,0,Ohio,OH
13730,14119,2020-07-01,389,0.0276,0,Oklahoma,OK
8723,8931,2020-07-01,208,0.0233,0,Oregon,OR
85091,91775,2020-07-01,6684,0.0728,0,Pennsylvania,PA
15897,16853,2020-07-01,956,0.0567,0,Rhode Island,RI
37153,37919,2020-07-01,766,0.0202,0,South Carolina,SC
6733,6826,2020-07-01,93,0.0136,0,South Dakota,SD
44706,45315,2020-07-01,609,0.0134,0,Tennessee,TN
169865,172368,2020-07-01,2503,0.0145,0,Texas,TX
22543,22716,2020-07-01,173,0.0076,0,Utah,UT
1154,1210,2020-07-01,56,0.0463,0,Vermont,VT
61417,63203,2020-07-01,1786,0.0283,0,Virginia,VA
32096,33435,2020-07-01,1339,0.04,0,Washington,WA
2886,2979,2020-07-01,93,0.0312,0,West Virginia,WV
28413,29199,2020-07-01,786,0.0269,0,Wisconsin,WI
1494,1514,2020-07-01,20,0.0132,0,Wyoming,WY
57856,59067,2020-07-15,1211,0.0205,0,Alabama,AL
1614,1631,2020-07-15,17,0.0104,0,Alaska,AK
128920,131354,2020-07-15,2434,0.0185,0,Arizona,AZ
29962,30297,2020-07-15,335,0.0111,0,Arkansas,AR
347510,354885,2020-07-15,7375,0.0208,0,California,CA
36393,38137,2020-07-15,1744,0.0457,0,Colorado,CO
43256,47636,2020-07-15,4380,0.0919,0,Connecticut,CT
12529,13050,2020-07-15,521,0.0399,0,Delaware,DE
297289,301810,2020-07-15,4521,0.015,0,Florida,FL
124747,127838,2020-07-15,3091,0.0242,0,Georgia,GA
1270,1292,2020-07-15,22,0.017,0,Hawaii,HI
12339,12449,2020-07-15,110,0.0088,0,Idaho,ID
150398,157825,2020-07-15,7427,0.0471,0,Illinois,IL
50585,53370,2020-07-15,2785,0.0522,0,Indiana,IN
35759,36536,2020-07-15,777,0.0213,0,Iowa,IA
20045,20349,2020-07-15,304,0.0149,0,Kansas,KS
20032,20677,2020-07-15,645,0.0312,0,Kentucky,KY
80670,84131,2020-07-15,3461,0.0411,0,Louisiana,LA
3464,3578,2020-07-15,114,0.0319,0,Maine,ME
71675,75016,2020-07-15,3341,0.0445,0,Maryland,MD
103979,112347,2020-07-15,8368,0.0745,0,Massachusetts,MA
72583,78913,2020-07-15,6330,0.0802,0,Michigan,MI
42184,43742,2020-07-15,1558,0.0356,0,Minnesota,MN
37277,38567,2020-07-15,1290,0.0334,0,Mississippi,MS
28938,30057,2020-07-15,1119,0.0372,0,Missouri,MO
2062,2096,2020-07-15,34,0.0162,0,Montana,MT
21688,21979,2020-07-15,291,0.0132,0,Nebraska,NE
29850,30468,2020-07-15,618,0.0203,0,Nevada,NV
5719,6113,2020-07-15,394,0.0645,0,New Hampshire,NH
160644,176278,2020-07-15,15634,0.0887,0,New Jersey,NJ
15284,15841,2020-07-15,557,0.0352,0,New Mexico,NM
371579,404006,2020-07-15,32427,0.0803,0,New York,NY
90248,91837,2020-07-15,1589,0.0173,0,North Carolina,NC
4477,4565,2020-07-15,88,0.0193,0,North Dakota,ND
66236,69311,2020-07-15,3075,0.0444,0,Ohio,OH
22382,22814,2020-07-15,432,0.0189,0,Oklahoma,OK
12834,13081,2020-07-15,247,0.0189,0,Oregon,OR
95312,102269,2020-07-15,6957,0.068,0,Pennsylvania,PA
16653,17640,2020-07-15,987,0.056,0,Rhode Island,RI
61247,62245,2020-07-15,998,0.016,0,South Carolina,SC
7541,7652,2020-07-15,111,0.0145,0,South Dakota,SD
68278,69061,2020-07-15,783,0.0113,0,Tennessee,TN
286339,289837,2020-07-15,3498,0.0121,0,Texas,TX
30658,30891,2020-07-15,233,0.0075,0,Utah,UT
1262,1318,2020-07-15,56,0.0425,0,Vermont,VT
71535,73527,2020-07-15,1992,0.0271,0,Virginia,VA
41625,43046,2020-07-15,1421,0.033,0,Washington,WA
4459,4557,2020-07-15,98,0.0215,0,West Virginia,WV
37900,38727,2020-07-15,827,0.0214,0,Wisconsin,WI
1963,1985,2020-07-15,22,0.0111,0,Wyoming,WY
